volatile acidity,alcohol,citric acid,free sulfur dioxide,pH,quality white
0.5 g(acetic acid)/dm^3,11.2 % vol.,0.74 g/dm^3,5.0 mg/dm^3,3.22 ,False
0.25 g(acetic acid)/dm^3,10.4 % vol.,0.54 g/dm^3,58.0 mg/dm^3,3.19 ,False
0.41 g(acetic acid)/dm^3,10.5 % vol.,0.64 g/dm^3,9.0 mg/dm^3,3.54 ,False
0.24 g(acetic acid)/dm^3,11.7 % vol.,0.44 g/dm^3,5.0 mg/dm^3,3.53 ,False
1.58 g(acetic acid)/dm^3,10.9 % vol.,0.0 g/dm^3,5.0 mg/dm^3,3.5 ,False
0.59 g(acetic acid)/dm^3,9.6 % vol.,0.24 g/dm^3,20.0 mg/dm^3,3.26 ,False
0.16 g(acetic acid)/dm^3,9.0 % vol.,0.32 g/dm^3,18.0 mg/dm^3,2.88 ,False
0.37 g(acetic acid)/dm^3,11.2 % vol.,0.32 g/dm^3,4.0 mg/dm^3,3.3 ,False
0.25 g(acetic acid)/dm^3,10.1 % vol.,0.34 g/dm^3,30.0 mg/dm^3,3.17 ,False
0.24 g(acetic acid)/dm^3,9.3 % vol.,0.22 g/dm^3,65.0 mg/dm^3,3.06 ,False
0.25 g(acetic acid)/dm^3,9.1 % vol.,0.41 g/dm^3,57.0 mg/dm^3,3.0 ,False
0.45 g(acetic acid)/dm^3,11.4 % vol.,0.28 g/dm^3,25.0 mg/dm^3,3.06 ,True
0.26 g(acetic acid)/dm^3,10.8 % vol.,0.49 g/dm^3,32.0 mg/dm^3,3.24 ,False
0.18 g(acetic acid)/dm^3,9.4 % vol.,0.65 g/dm^3,28.0 mg/dm^3,3.33 ,False
0.14 g(acetic acid)/dm^3,11.5 % vol.,0.31 g/dm^3,53.0 mg/dm^3,3.38 ,True
0.19 g(acetic acid)/dm^3,9.2 % vol.,0.31 g/dm^3,39.0 mg/dm^3,3.1 ,False
0.36 g(acetic acid)/dm^3,13.3 % vol.,0.32 g/dm^3,44.0 mg/dm^3,3.2 ,True
0.41 g(acetic acid)/dm^3,11.2 % vol.,0.21 g/dm^3,30.0 mg/dm^3,3.29 ,False
0.26 g(acetic acid)/dm^3,9.4 % vol.,0.44 g/dm^3,52.0 mg/dm^3,3.2 ,False
0.46 g(acetic acid)/dm^3,10.6 % vol.,0.24 g/dm^3,18.0 mg/dm^3,3.39 ,False
0.6 g(acetic acid)/dm^3,9.8 % vol.,0.25 g/dm^3,9.0 mg/dm^3,3.15 ,False
0.55 g(acetic acid)/dm^3,9.6 % vol.,0.66 g/dm^3,12.0 mg/dm^3,3.17 ,False
0.5 g(acetic acid)/dm^3,10.8 % vol.,0.36 g/dm^3,6.0 mg/dm^3,3.27 ,False
0.33 g(acetic acid)/dm^3,10.5 % vol.,0.28 g/dm^3,30.0 mg/dm^3,3.12 ,False
0.965 g(acetic acid)/dm^3,10.2 % vol.,0.0 g/dm^3,16.0 mg/dm^3,3.58 ,False
0.18 g(acetic acid)/dm^3,8.9 % vol.,0.31 g/dm^3,46.0 mg/dm^3,3.06 ,False
0.18 g(acetic acid)/dm^3,10.9 % vol.,0.36 g/dm^3,31.0 mg/dm^3,3.25 ,False
0.64 g(acetic acid)/dm^3,9.9 % vol.,0.21 g/dm^3,32.0 mg/dm^3,3.27 ,False
0.26 g(acetic acid)/dm^3,10.5 % vol.,0.34 g/dm^3,42.0 mg/dm^3,3.24 ,False
0.375 g(acetic acid)/dm^3,9.1 % vol.,0.4 g/dm^3,29.0 mg/dm^3,3.42 ,False
0.27 g(acetic acid)/dm^3,8.8 % vol.,0.29 g/dm^3,59.0 mg/dm^3,3.14 ,False
0.12 g(acetic acid)/dm^3,10.9 % vol.,0.28 g/dm^3,36.0 mg/dm^3,3.33 ,True
0.22 g(acetic acid)/dm^3,11.9 % vol.,0.32 g/dm^3,36.0 mg/dm^3,3.27 ,True
0.16 g(acetic acid)/dm^3,11.4 % vol.,0.28 g/dm^3,40.0 mg/dm^3,3.38 ,True
0.5 g(acetic acid)/dm^3,10.7 % vol.,0.39 g/dm^3,12.0 mg/dm^3,3.43 ,False
0.17 g(acetic acid)/dm^3,11.5 % vol.,0.4 g/dm^3,34.0 mg/dm^3,3.05 ,False
0.52 g(acetic acid)/dm^3,10.2 % vol.,0.25 g/dm^3,19.0 mg/dm^3,3.3 ,False
0.18 g(acetic acid)/dm^3,11.3 % vol.,0.28 g/dm^3,50.0 mg/dm^3,3.16 ,False
0.24 g(acetic acid)/dm^3,9.9 % vol.,0.74 g/dm^3,24.0 mg/dm^3,3.27 ,False
0.695 g(acetic acid)/dm^3,9.2 % vol.,0.0 g/dm^3,3.0 mg/dm^3,3.49 ,False
